project_id,name,state,district,project_type,land_area_hectares,affected_families,compensation_percentage,approval_delay_days,legal_disputes_count,documentation_complete,notification_complete,possession_percentage,rehabilitation_percentage,stakeholder_responsiveness,historical_district_delay_score,current_stage,actual_delay_days,delayed_flag
LA-UT-2026-0055,Gorakhpur Ring-Rail & Transit Oriented Development,Uttar Pradesh,Gorakhpur,Urban Metros & Smart Cities,140.0,252,70.4,5,0,True,True,63.7,87.7,High,5.9,Final Acquisition Complete,0,0
LA-OD-2026-0056,Jharsuguda Multi-Village Barrage & Micro-Irrigation Canal,Odisha,Jharsuguda,Irrigation & Water Reservoirs,1113.7,2305,34.4,24,3,False,True,11.0,15.7,Medium,5.7,Compensation Assessment,107,1
LA-JH-2026-0057,Hazaribagh Bypass 6-Lane Expressway Expansion,Jharkhand,Hazaribagh,Highways & Expressways,615.8,1358,98.8,2,1,True,True,63.2,59.3,Medium,5.7,Possession (Sec 38),1,0
LA-OD-2026-0058,Balasore Ultra-Mega 500MW Solar Photovoltaic Park,Odisha,Balasore,Renewable Energy & Solar Parks,396.7,405,79.4,9,1,True,True,70.6,56.5,High,5.5,Final Acquisition Complete,6,0
LA-MA-2026-0059,Pune Bypass 6-Lane Expressway Expansion,Maharashtra,Pune,Highways & Expressways,275.5,283,96.4,14,0,True,True,95.2,68.5,High,5.0,Final Acquisition Complete,0,0
LA-JH-2026-0060,Hazaribagh Dedicated Freight Rail Freight Corridor & Terminal,Jharkhand,Hazaribagh,Railways & Dedicated Freight,160.6,114,19.5,69,2,True,True,9.1,14.4,High,6.3,Compensation Assessment,120,1
LA-JH-2026-0061,Ranchi Block-IV Mineral Extraction & Processing Node,Jharkhand,Ranchi,Mining & Coal Exploration,773.6,792,8.3,7,0,False,True,0.0,0.0,Low,6.9,Land Survey & Demarcation,76,1
LA-UT-2026-0062,Kanpur Multi-Village Barrage & Micro-Irrigation Canal,Uttar Pradesh,Kanpur,Irrigation & Water Reservoirs,74.1,91,14.6,13,1,True,True,0.0,0.0,Medium,6.0,Land Survey & Demarcation,50,1
LA-TA-2026-0063,Salem Dedicated Freight Rail Freight Corridor & Terminal,Tamil Nadu,Salem,Railways & Dedicated Freight,1172.0,2486,0.4,26,1,False,True,0.0,0.0,Medium,4.4,Land Survey & Demarcation,97,1
LA-MA-2026-0064,Nashik Ring-Rail & Transit Oriented Development,Maharashtra,Nashik,Urban Metros & Smart Cities,435.8,933,76.7,27,0,True,True,86.4,69.9,Low,4.8,Possession (Sec 38),15,0
LA-AN-2026-0065,Guntur Ultra-Mega 500MW Solar Photovoltaic Park,Andhra Pradesh,Guntur,Renewable Energy & Solar Parks,1128.6,824,36.6,65,5,True,True,48.5,28.3,Medium,5.4,Compensation Disbursement,125,1
LA-TA-2026-0066,Salem Ultra-Mega 500MW Solar Photovoltaic Park,Tamil Nadu,Salem,Renewable Energy & Solar Parks,324.3,621,42.4,51,1,False,True,8.1,14.4,High,3.9,Objection / Legal Hearing (Sec 15),91,1
LA-TA-2026-0067,Madurai Ultra-Mega 500MW Solar Photovoltaic Park,Tamil Nadu,Madurai,Renewable Energy & Solar Parks,808.6,931,29.4,43,1,True,True,2.9,13.3,High,4.6,Compensation Assessment,52,0
LA-JH-2026-0068,East Singhbhum Multimodal Logistics Hub & Industrial Township,Jharkhand,East Singhbhum,Industrial Corridors & SEZ,571.4,791,55.8,46,0,True,True,46.0,54.8,High,6.6,Compensation Disbursement,30,0
LA-TA-2026-0069,Chennai Dedicated Freight Rail Freight Corridor & Terminal,Tamil Nadu,Chennai,Railways & Dedicated Freight,198.1,117,31.4,29,4,False,True,11.5,9.1,High,4.8,Objection / Legal Hearing (Sec 15),108,1
LA-OD-2026-0070,Sambalpur Ring-Rail & Transit Oriented Development,Odisha,Sambalpur,Urban Metros & Smart Cities,939.6,881,10.4,35,0,False,True,0.0,0.0,Medium,6.7,Notification (Sec 11),86,1
LA-MA-2026-0071,Nashik Ultra-Mega 500MW Solar Photovoltaic Park,Maharashtra,Nashik,Renewable Energy & Solar Parks,1141.3,2605,71.8,70,1,False,True,30.2,56.5,High,5.1,Compensation Disbursement,100,1
LA-OD-2026-0072,Sundargarh Block-IV Mineral Extraction & Processing Node,Odisha,Sundargarh,Mining & Coal Exploration,116.0,124,79.6,12,0,True,True,81.6,56.9,Medium,7.2,Possession (Sec 38),3,0
LA-MA-2026-0073,Nashik Dedicated Freight Rail Freight Corridor & Terminal,Maharashtra,Nashik,Railways & Dedicated Freight,482.6,984,26.3,55,0,False,True,45.2,43.8,Medium,5.0,Rehabilitation & Resettlement (R&R),91,1
LA-GU-2026-0074,Surat Multi-Village Barrage & Micro-Irrigation Canal,Gujarat,Surat,Irrigation & Water Reservoirs,810.9,1699,79.6,85,3,True,True,46.8,64.0,High,3.5,Compensation Disbursement,107,1
LA-MA-2026-0075,Nashik Multi-Village Barrage & Micro-Irrigation Canal,Maharashtra,Nashik,Irrigation & Water Reservoirs,273.7,315,49.6,70,0,True,True,40.1,56.6,Low,4.7,Compensation Disbursement,78,1
LA-JH-2026-0076,East Singhbhum Bypass 6-Lane Expressway Expansion,Jharkhand,East Singhbhum,Highways & Expressways,1140.8,1025,2.3,42,2,True,False,0.0,0.0,Low,7.0,Preliminary Investigation,112,1
LA-OD-2026-0077,Jharsuguda Ultra-Mega 500MW Solar Photovoltaic Park,Odisha,Jharsuguda,Renewable Energy & Solar Parks,938.9,776,8.7,25,2,False,True,0.0,0.0,Medium,5.9,Notification (Sec 11),110,1
LA-OD-2026-0078,Bhubaneswar Ring-Rail & Transit Oriented Development,Odisha,Bhubaneswar,Urban Metros & Smart Cities,960.6,1567,8.0,4,1,False,True,0.0,0.0,High,5.0,Notification (Sec 11),59,1
LA-JH-2026-0079,Bokaro Multimodal Logistics Hub & Industrial Township,Jharkhand,Bokaro,Industrial Corridors & SEZ,856.1,1173,99.0,24,1,True,True,70.8,90.4,High,6.6,Possession (Sec 38),13,0
LA-AN-2026-0080,Guntur Multi-Village Barrage & Micro-Irrigation Canal,Andhra Pradesh,Guntur,Irrigation & Water Reservoirs,906.8,1486,21.8,50,1,True,True,7.4,6.5,Medium,4.5,Objection / Legal Hearing (Sec 15),82,1
LA-AN-2026-0081,Visakhapatnam Multi-Village Barrage & Micro-Irrigation Canal,Andhra Pradesh,Visakhapatnam,Irrigation & Water Reservoirs,677.3,664,91.4,7,0,True,True,77.9,50.9,High,3.8,Possession (Sec 38),0,0
LA-AN-2026-0082,Guntur Multimodal Logistics Hub & Industrial Township,Andhra Pradesh,Guntur,Industrial Corridors & SEZ,413.7,788,77.5,23,0,True,True,64.8,59.6,High,4.8,Final Acquisition Complete,0,0
LA-UT-2026-0083,Varanasi Ring-Rail & Transit Oriented Development,Uttar Pradesh,Varanasi,Urban Metros & Smart Cities,726.2,1787,78.9,17,1,True,True,74.4,65.1,Medium,6.0,Final Acquisition Complete,24,0
LA-JH-2026-0084,Hazaribagh Ring-Rail & Transit Oriented Development,Jharkhand,Hazaribagh,Urban Metros & Smart Cities,145.5,76,84.4,30,0,True,True,73.6,98.3,High,6.0,Possession (Sec 38),16,0
LA-MA-2026-0085,Nashik Dedicated Freight Rail Freight Corridor & Terminal,Maharashtra,Nashik,Railways & Dedicated Freight,978.1,2345,3.7,38,2,False,True,0.0,0.0,High,5.3,Land Survey & Demarcation,104,1
LA-OD-2026-0086,Balasore Ultra-Mega 500MW Solar Photovoltaic Park,Odisha,Balasore,Renewable Energy & Solar Parks,383.8,668,73.1,20,2,True,True,47.9,25.4,Medium,5.4,Rehabilitation & Resettlement (R&R),49,0
LA-MA-2026-0087,Nagpur Block-IV Mineral Extraction & Processing Node,Maharashtra,Nagpur,Mining & Coal Exploration,297.0,568,6.8,16,0,False,False,0.0,0.0,High,4.3,Preliminary Investigation,43,0
LA-OD-2026-0088,Jharsuguda Block-IV Mineral Extraction & Processing Node,Odisha,Jharsuguda,Mining & Coal Exploration,108.9,90,11.2,28,1,False,True,0.0,0.0,Low,5.8,Land Survey & Demarcation,104,1
LA-AN-2026-0089,Kurnool Bypass 6-Lane Expressway Expansion,Andhra Pradesh,Kurnool,Highways & Expressways,1070.1,2107,0.4,43,0,True,False,0.0,0.0,Medium,5.2,Preliminary Investigation,64,1
LA-UT-2026-0090,Agra Ultra-Mega 500MW Solar Photovoltaic Park,Uttar Pradesh,Agra,Renewable Energy & Solar Parks,770.9,1143,47.6,62,2,True,True,23.3,48.5,High,5.5,Rehabilitation & Resettlement (R&R),97,1
LA-GU-2026-0091,Ahmedabad Ring-Rail & Transit Oriented Development,Gujarat,Ahmedabad,Urban Metros & Smart Cities,1041.3,2238,81.5,73,5,True,True,28.5,17.7,High,3.4,Rehabilitation & Resettlement (R&R),121,1
LA-OD-2026-0092,Sundargarh Multimodal Logistics Hub & Industrial Township,Odisha,Sundargarh,Industrial Corridors & SEZ,167.7,410,77.2,13,1,True,True,66.3,77.5,Low,7.0,Possession (Sec 38),47,0
LA-MA-2026-0093,Nashik Multimodal Logistics Hub & Industrial Township,Maharashtra,Nashik,Industrial Corridors & SEZ,622.9,652,44.3,70,1,True,True,3.7,11.0,Medium,4.8,Compensation Assessment,84,1
LA-AN-2026-0094,Kurnool Bypass 6-Lane Expressway Expansion,Andhra Pradesh,Kurnool,Highways & Expressways,878.1,1909,33.1,47,2,True,True,13.0,8.9,High,5.0,Compensation Assessment,79,1
LA-GU-2026-0095,Rajkot Dedicated Freight Rail Freight Corridor & Terminal,Gujarat,Rajkot,Railways & Dedicated Freight,299.4,614,73.4,73,1,False,True,38.2,55.6,Low,4.6,Rehabilitation & Resettlement (R&R),125,1
LA-TA-2026-0096,Chennai Multi-Village Barrage & Micro-Irrigation Canal,Tamil Nadu,Chennai,Irrigation & Water Reservoirs,873.9,1153,2.3,21,1,False,False,0.0,0.0,High,4.6,Preliminary Investigation,77,1
LA-MA-2026-0097,Thane Block-IV Mineral Extraction & Processing Node,Maharashtra,Thane,Mining & Coal Exploration,1050.1,600,88.9,2,1,True,True,96.8,99.9,High,6.8,Possession (Sec 38),0,0
LA-MA-2026-0098,Nashik Block-IV Mineral Extraction & Processing Node,Maharashtra,Nashik,Mining & Coal Exploration,369.7,462,8.0,10,0,False,False,0.0,0.0,Medium,4.6,Preliminary Investigation,61,1
LA-GU-2026-0099,Surat Multimodal Logistics Hub & Industrial Township,Gujarat,Surat,Industrial Corridors & SEZ,565.0,1036,26.3,49,3,True,True,4.3,10.9,High,3.2,Compensation Assessment,101,1
LA-GU-2026-0100,Vadodara Ring-Rail & Transit Oriented Development,Gujarat,Vadodara,Urban Metros & Smart Cities,150.3,189,78.9,12,1,True,True,88.0,51.1,Medium,4.4,Possession (Sec 38),16,0
LA-JH-2026-0101,Hazaribagh Ring-Rail & Transit Oriented Development,Jharkhand,Hazaribagh,Urban Metros & Smart Cities,738.3,889,31.7,17,1,False,True,10.2,14.4,Low,6.3,Objection / Legal Hearing (Sec 15),96,1
LA-MA-2026-0102,Bhopal Block-IV Mineral Extraction & Processing Node,Madhya Pradesh,Bhopal,Mining & Coal Exploration,903.3,768,60.1,42,1,True,True,48.9,41.5,High,4.9,Compensation Disbursement,29,0
LA-AN-2026-0103,Guntur Ring-Rail & Transit Oriented Development,Andhra Pradesh,Guntur,Urban Metros & Smart Cities,1035.7,2017,43.9,38,0,True,True,12.1,7.3,High,4.5,Objection / Legal Hearing (Sec 15),27,0
LA-TA-2026-0104,Madurai Bypass 6-Lane Expressway Expansion,Tamil Nadu,Madurai,Highways & Expressways,579.0,1006,21.5,43,3,False,True,9.2,13.0,High,4.6,Objection / Legal Hearing (Sec 15),119,1
LA-JH-2026-0105,Ranchi Ultra-Mega 500MW Solar Photovoltaic Park,Jharkhand,Ranchi,Renewable Energy & Solar Parks,481.7,598,10.4,37,2,False,True,0.0,0.0,Medium,7.0,Land Survey & Demarcation,106,1
LA-MA-2026-0106,Nashik Multimodal Logistics Hub & Industrial Township,Maharashtra,Nashik,Industrial Corridors & SEZ,280.3,389,48.6,60,0,True,True,49.2,33.4,Medium,4.9,Compensation Disbursement,57,0
LA-MA-2026-0107,Nashik Bypass 6-Lane Expressway Expansion,Maharashtra,Nashik,Highways & Expressways,949.5,937,8.5,37,0,True,False,0.0,0.0,Medium,5.2,Preliminary Investigation,48,0
LA-OD-2026-0108,Sundargarh Block-IV Mineral Extraction & Processing Node,Odisha,Sundargarh,Mining & Coal Exploration,1185.3,1873,1.6,0,0,True,True,0.0,0.0,Medium,7.2,Land Survey & Demarcation,25,0
LA-OD-2026-0109,Balasore Multimodal Logistics Hub & Industrial Township,Odisha,Balasore,Industrial Corridors & SEZ,643.2,1280,75.6,15,5,True,True,30.5,20.5,High,5.2,Rehabilitation & Resettlement (R&R),91,1
LA-JH-2026-0110,Ranchi Bypass 6-Lane Expressway Expansion,Jharkhand,Ranchi,Highways & Expressways,862.1,1195,79.7,20,1,True,True,65.9,56.3,High,7.3,Possession (Sec 38),19,0
LA-TA-2026-0111,Salem Ultra-Mega 500MW Solar Photovoltaic Park,Tamil Nadu,Salem,Renewable Energy & Solar Parks,141.5,269,67.3,67,3,True,True,40.8,51.0,Medium,4.0,Rehabilitation & Resettlement (R&R),112,1
LA-MA-2026-0112,Gwalior Multimodal Logistics Hub & Industrial Township,Madhya Pradesh,Gwalior,Industrial Corridors & SEZ,464.8,374,12.3,21,2,True,True,12.5,1.9,High,5.3,Compensation Assessment,76,1
LA-TA-2026-0113,Chennai Multi-Village Barrage & Micro-Irrigation Canal,Tamil Nadu,Chennai,Irrigation & Water Reservoirs,1162.9,1977,8.7,42,0,True,False,0.0,0.0,High,5.0,Preliminary Investigation,48,0
LA-MA-2026-0114,Thane Ultra-Mega 500MW Solar Photovoltaic Park,Maharashtra,Thane,Renewable Energy & Solar Parks,973.5,2132,38.6,39,4,True,True,9.2,12.9,Low,7.2,Objection / Legal Hearing (Sec 15),120,1
LA-AN-2026-0115,Guntur Multimodal Logistics Hub & Industrial Township,Andhra Pradesh,Guntur,Industrial Corridors & SEZ,106.8,211,31.0,30,2,False,True,31.2,33.8,Medium,4.5,Rehabilitation & Resettlement (R&R),102,1
LA-TA-2026-0116,Chennai Bypass 6-Lane Expressway Expansion,Tamil Nadu,Chennai,Highways & Expressways,344.7,628,6.6,32,0,False,True,0.0,0.0,Low,4.9,Notification (Sec 11),98,1
LA-MA-2026-0117,Thane Block-IV Mineral Extraction & Processing Node,Maharashtra,Thane,Mining & Coal Exploration,284.1,701,3.1,16,0,True,False,0.0,0.0,Medium,6.9,Preliminary Investigation,48,0
LA-JH-2026-0118,Bokaro Multimodal Logistics Hub & Industrial Township,Jharkhand,Bokaro,Industrial Corridors & SEZ,612.8,1327,12.5,14,3,True,True,12.9,0.8,Medium,6.0,Objection / Legal Hearing (Sec 15),91,1
LA-GU-2026-0119,Rajkot Dedicated Freight Rail Freight Corridor & Terminal,Gujarat,Rajkot,Railways & Dedicated Freight,1002.6,2345,95.3,2,1,True,True,69.7,79.4,High,4.6,Possession (Sec 38),0,0
LA-TA-2026-0120,Coimbatore Bypass 6-Lane Expressway Expansion,Tamil Nadu,Coimbatore,Highways & Expressways,624.2,1443,91.8,3,0,True,True,92.8,90.8,Medium,3.8,Final Acquisition Complete,0,0
LA-UT-2026-0121,Kanpur Ring-Rail & Transit Oriented Development,Uttar Pradesh,Kanpur,Urban Metros & Smart Cities,570.1,927,90.4,10,1,True,True,95.3,82.1,Medium,5.5,Possession (Sec 38),13,0
LA-MA-2026-0122,Nashik Bypass 6-Lane Expressway Expansion,Maharashtra,Nashik,Highways & Expressways,621.1,696,28.7,86,5,True,True,43.3,18.8,High,4.9,Compensation Disbursement,140,1
LA-JH-2026-0123,Bokaro Ultra-Mega 500MW Solar Photovoltaic Park,Jharkhand,Bokaro,Renewable Energy & Solar Parks,614.1,1483,94.3,16,0,True,True,93.5,99.1,Medium,5.8,Possession (Sec 38),9,0
LA-MA-2026-0124,Gwalior Block-IV Mineral Extraction & Processing Node,Madhya Pradesh,Gwalior,Mining & Coal Exploration,505.3,594,76.3,59,5,True,True,35.9,18.3,Medium,5.3,Rehabilitation & Resettlement (R&R),126,1
LA-UT-2026-0125,Gorakhpur Block-IV Mineral Extraction & Processing Node,Uttar Pradesh,Gorakhpur,Mining & Coal Exploration,176.5,338,61.3,21,5,True,True,35.7,31.4,High,6.7,Rehabilitation & Resettlement (R&R),100,1
LA-JH-2026-0126,East Singhbhum Ring-Rail & Transit Oriented Development,Jharkhand,East Singhbhum,Urban Metros & Smart Cities,250.6,626,78.9,26,1,True,True,91.5,75.4,High,6.3,Possession (Sec 38),27,0
LA-TA-2026-0127,Coimbatore Multimodal Logistics Hub & Industrial Township,Tamil Nadu,Coimbatore,Industrial Corridors & SEZ,872.4,512,10.8,28,1,False,True,0.0,0.0,Medium,3.5,Land Survey & Demarcation,86,1
LA-AN-2026-0128,Kurnool Ultra-Mega 500MW Solar Photovoltaic Park,Andhra Pradesh,Kurnool,Renewable Energy & Solar Parks,567.5,603,85.8,4,1,True,True,98.7,90.8,Medium,5.4,Possession (Sec 38),10,0
LA-MA-2026-0129,Jabalpur Ring-Rail & Transit Oriented Development,Madhya Pradesh,Jabalpur,Urban Metros & Smart Cities,359.9,729,13.6,5,2,True,True,0.0,0.0,Medium,6.1,Notification (Sec 11),65,1
LA-TA-2026-0130,Chennai Multi-Village Barrage & Micro-Irrigation Canal,Tamil Nadu,Chennai,Irrigation & Water Reservoirs,465.5,258,12.6,9,1,False,True,0.0,0.0,Medium,4.5,Notification (Sec 11),80,1
LA-MA-2026-0131,Indore Bypass 6-Lane Expressway Expansion,Madhya Pradesh,Indore,Highways & Expressways,325.7,706,10.9,7,2,False,False,0.0,0.0,Medium,4.4,Preliminary Investigation,91,1
LA-MA-2026-0132,Pune Bypass 6-Lane Expressway Expansion,Maharashtra,Pune,Highways & Expressways,1008.1,1511,9.5,45,0,False,True,0.0,0.0,Medium,4.6,Notification (Sec 11),94,1
LA-JH-2026-0133,Hazaribagh Multimodal Logistics Hub & Industrial Township,Jharkhand,Hazaribagh,Industrial Corridors & SEZ,640.1,781,8.2,24,0,False,True,0.0,0.0,High,5.6,Notification (Sec 11),70,1
LA-GU-2026-0134,Vadodara Block-IV Mineral Extraction & Processing Node,Gujarat,Vadodara,Mining & Coal Exploration,886.2,1556,35.7,27,2,False,True,5.0,0.9,High,4.2,Objection / Legal Hearing (Sec 15),79,1
LA-MA-2026-0135,Indore Multi-Village Barrage & Micro-Irrigation Canal,Madhya Pradesh,Indore,Irrigation & Water Reservoirs,369.8,217,0.6,34,2,False,False,0.0,0.0,High,4.6,Preliminary Investigation,108,1
LA-OD-2026-0136,Sundargarh Block-IV Mineral Extraction & Processing Node,Odisha,Sundargarh,Mining & Coal Exploration,171.3,211,36.0,68,3,True,True,13.4,7.7,Medium,7.5,Compensation Assessment,120,1
LA-AN-2026-0137,Visakhapatnam Ring-Rail & Transit Oriented Development,Andhra Pradesh,Visakhapatnam,Urban Metros & Smart Cities,665.9,760,9.9,38,2,False,True,0.0,0.0,High,4.2,Land Survey & Demarcation,109,1
LA-MA-2026-0138,Jabalpur Ultra-Mega 500MW Solar Photovoltaic Park,Madhya Pradesh,Jabalpur,Renewable Energy & Solar Parks,347.6,855,29.9,28,0,True,True,35.5,33.2,High,6.2,Rehabilitation & Resettlement (R&R),23,0
LA-MA-2026-0139,Bhopal Block-IV Mineral Extraction & Processing Node,Madhya Pradesh,Bhopal,Mining & Coal Exploration,1140.6,644,54.2,27,5,True,True,24.8,37.2,High,5.4,Rehabilitation & Resettlement (R&R),105,1
LA-TA-2026-0140,Madurai Multi-Village Barrage & Micro-Irrigation Canal,Tamil Nadu,Madurai,Irrigation & Water Reservoirs,479.7,778,77.8,22,0,True,True,77.9,99.8,High,4.4,Final Acquisition Complete,8,0
LA-UT-2026-0141,Lucknow Bypass 6-Lane Expressway Expansion,Uttar Pradesh,Lucknow,Highways & Expressways,809.7,1553,43.9,75,2,True,True,22.0,22.9,Medium,5.1,Compensation Disbursement,122,1
LA-OD-2026-0142,Sambalpur Ultra-Mega 500MW Solar Photovoltaic Park,Odisha,Sambalpur,Renewable Energy & Solar Parks,574.2,1415,82.5,62,5,False,True,12.6,34.9,High,6.3,Compensation Disbursement,122,1
LA-MA-2026-0143,Nagpur Multimodal Logistics Hub & Industrial Township,Maharashtra,Nagpur,Industrial Corridors & SEZ,429.8,969,89.2,16,0,True,True,67.3,98.3,Low,4.1,Final Acquisition Complete,2,0
LA-UT-2026-0144,Gorakhpur Block-IV Mineral Extraction & Processing Node,Uttar Pradesh,Gorakhpur,Mining & Coal Exploration,1076.5,2359,89.1,19,0,True,True,82.0,56.3,High,6.5,Final Acquisition Complete,9,0
LA-UT-2026-0145,Kanpur Multimodal Logistics Hub & Industrial Township,Uttar Pradesh,Kanpur,Industrial Corridors & SEZ,1015.0,1651,26.8,83,1,True,True,11.8,47.1,High,6.1,Compensation Disbursement,107,1
LA-JH-2026-0146,Bokaro Block-IV Mineral Extraction & Processing Node,Jharkhand,Bokaro,Mining & Coal Exploration,312.7,661,83.6,15,0,True,True,87.5,57.9,High,6.2,Possession (Sec 38),5,0
LA-UT-2026-0147,Gorakhpur Block-IV Mineral Extraction & Processing Node,Uttar Pradesh,Gorakhpur,Mining & Coal Exploration,178.7,221,45.7,22,1,True,True,28.7,28.4,Low,6.8,Rehabilitation & Resettlement (R&R),74,1
LA-GU-2026-0148,Rajkot Block-IV Mineral Extraction & Processing Node,Gujarat,Rajkot,Mining & Coal Exploration,248.1,203,55.3,74,3,True,True,45.2,39.9,High,3.8,Compensation Disbursement,105,1
LA-OD-2026-0149,Balasore Ring-Rail & Transit Oriented Development,Odisha,Balasore,Urban Metros & Smart Cities,360.8,186,74.0,11,0,True,True,70.6,68.3,Low,5.6,Possession (Sec 38),14,0
LA-OD-2026-0150,Sundargarh Ring-Rail & Transit Oriented Development,Odisha,Sundargarh,Urban Metros & Smart Cities,353.7,876,73.6,17,0,True,True,99.0,69.7,Medium,7.1,Final Acquisition Complete,8,0
LA-OD-2026-0151,Balasore Dedicated Freight Rail Freight Corridor & Terminal,Odisha,Balasore,Railways & Dedicated Freight,969.7,1492,83.1,60,1,True,True,15.6,61.6,High,5.1,Compensation Disbursement,41,0
LA-AN-2026-0152,Guntur Ultra-Mega 500MW Solar Photovoltaic Park,Andhra Pradesh,Guntur,Renewable Energy & Solar Parks,583.0,310,13.8,65,0,False,True,6.2,6.2,Medium,4.9,Compensation Assessment,102,1
LA-OD-2026-0153,Bhubaneswar Ultra-Mega 500MW Solar Photovoltaic Park,Odisha,Bhubaneswar,Renewable Energy & Solar Parks,198.6,369,86.6,29,3,True,True,14.4,15.9,High,4.9,Rehabilitation & Resettlement (R&R),51,0
LA-GU-2026-0154,Rajkot Dedicated Freight Rail Freight Corridor & Terminal,Gujarat,Rajkot,Railways & Dedicated Freight,268.6,308,85.8,10,1,True,True,72.6,58.7,High,3.7,Final Acquisition Complete,1,0
LA-AN-2026-0155,Kurnool Dedicated Freight Rail Freight Corridor & Terminal,Andhra Pradesh,Kurnool,Railways & Dedicated Freight,931.1,1778,27.1,41,2,False,True,7.2,11.2,Low,5.3,Compensation Assessment,113,1
LA-GU-2026-0156,Rajkot Block-IV Mineral Extraction & Processing Node,Gujarat,Rajkot,Mining & Coal Exploration,363.0,699,6.6,13,2,False,False,0.0,0.0,Medium,4.4,Preliminary Investigation,88,1
LA-AN-2026-0157,Guntur Dedicated Freight Rail Freight Corridor & Terminal,Andhra Pradesh,Guntur,Railways & Dedicated Freight,812.1,1268,0.8,45,1,False,False,0.0,0.0,High,5.0,Preliminary Investigation,109,1
LA-UT-2026-0158,Lucknow Multimodal Logistics Hub & Industrial Township,Uttar Pradesh,Lucknow,Industrial Corridors & SEZ,586.0,526,79.6,20,0,True,True,85.8,95.4,High,4.9,Possession (Sec 38),6,0
LA-JH-2026-0159,Dhanbad Bypass 6-Lane Expressway Expansion,Jharkhand,Dhanbad,Highways & Expressways,950.9,829,81.7,87,5,True,True,21.6,16.9,Low,7.2,Rehabilitation & Resettlement (R&R),133,1
LA-TA-2026-0160,Madurai Dedicated Freight Rail Freight Corridor & Terminal,Tamil Nadu,Madurai,Railways & Dedicated Freight,574.9,509,74.9,0,0,True,True,78.4,62.9,Medium,4.2,Final Acquisition Complete,0,0
LA-OD-2026-0161,Sambalpur Multi-Village Barrage & Micro-Irrigation Canal,Odisha,Sambalpur,Irrigation & Water Reservoirs,410.3,534,99.5,8,0,True,True,79.1,96.8,High,6.3,Final Acquisition Complete,0,0
